trial_number,criterion,max_depth,min_samples_split,min_samples_leaf,class_weight,csp_components,fold,subject,accuracy,f1_score,roc_auc,support
15,entropy,7,3,3,balanced,6,68,68,0.5111111111111111,0.08333333333333333,0.5424901185770751,45
15,entropy,7,3,3,balanced,6,69,69,0.4888888888888889,0.5490196078431373,0.5109126984126984,45
15,entropy,7,3,3,balanced,6,70,70,0.5777777777777777,0.6415094339622641,0.5632411067193676,45
15,entropy,7,3,3,balanced,6,71,71,0.7777777777777778,0.8148148148148148,0.8112648221343873,45
15,entropy,7,3,3,balanced,6,72,72,0.4888888888888889,0.0,0.5,45
15,entropy,7,3,3,balanced,6,73,73,0.5111111111111111,0.0,0.5,45
15,entropy,7,3,3,balanced,6,74,74,0.5555555555555556,0.16666666666666666,0.5059523809523809,45
15,entropy,7,3,3,balanced,6,75,75,0.43902439024390244,0.6101694915254238,0.532142857142857,41
15,entropy,7,3,3,balanced,6,76,76,0.5111111111111111,0.15384615384615385,0.5019762845849802,45
15,entropy,7,3,3,balanced,6,77,77,0.4888888888888889,0.41025641025641024,0.5168650793650794,45
15,entropy,7,3,3,balanced,6,78,78,0.5777777777777777,0.6545454545454545,0.5810276679841897,45
15,entropy,7,3,3,balanced,6,79,79,0.625,0.5454545454545454,0.53625,40
15,entropy,7,3,3,balanced,6,80,80,0.5333333333333333,0.16,0.6640316205533596,45
15,entropy,7,3,3,balanced,6,81,81,0.6,0.5263157894736842,0.6205533596837944,45
15,entropy,7,3,3,balanced,6,82,82,0.5555555555555556,0.6774193548387096,0.6067193675889327,45
15,entropy,7,3,3,balanced,6,83,83,0.5789473684210527,0.3333333333333333,0.574792243767313,38
15,entropy,7,3,3,balanced,6,84,84,0.6363636363636364,0.6666666666666666,0.748447204968944,44
15,entropy,7,3,3,balanced,6,85,85,0.5909090909090909,0.6896551724137931,0.8033126293995859,44
15,entropy,7,3,3,balanced,6,86,86,0.6136363636363636,0.6666666666666666,0.6231884057971014,44
15,entropy,7,3,3,balanced,6,87,87,0.4666666666666667,0.5714285714285714,0.49901185770750983,45
15,entropy,7,3,3,balanced,6,88,88,0.45454545454545453,0.0625,0.49735449735449744,55
15,entropy,7,3,3,balanced,6,89,89,0.5333333333333333,0.0,0.5,45
15,entropy,7,3,3,balanced,6,90,90,0.4444444444444444,0.5098039215686274,0.4644268774703557,45
15,entropy,7,3,3,balanced,6,91,91,0.6136363636363636,0.6382978723404256,0.6570247933884297,44
15,entropy,7,3,3,balanced,6,92,92,0.5535714285714286,0.358974358974359,0.7230769230769232,56
15,entropy,7,3,3,balanced,6,93,93,0.7333333333333333,0.75,0.6956521739130437,45
15,entropy,7,3,3,balanced,6,94,94,0.8409090909090909,0.8679245283018868,0.8954451345755694,44
15,entropy,7,3,3,balanced,6,95,95,0.4642857142857143,0.4827586206896552,0.47395833333333337,28
15,entropy,7,3,3,balanced,6,96,96,0.5714285714285714,0.6896551724137931,0.5351473922902494,42
15,entropy,7,3,3,balanced,6,97,97,0.5,0.0,0.48347107438016534,44
15,entropy,7,3,3,balanced,6,98,98,0.5555555555555556,0.5,0.5375494071146245,45
15,entropy,7,3,3,balanced,6,99,99,0.46511627906976744,0.5964912280701754,0.4632034632034633,43
15,entropy,7,3,3,balanced,6,100,100,0.5,0.5263157894736842,0.441358024691358,36
15,entropy,7,3,3,balanced,6,101,101,0.4888888888888889,0.0,0.559288537549407,45
15,entropy,7,3,3,balanced,6,102,102,0.4888888888888889,0.0,0.5,45
15,entropy,7,3,3,balanced,6,103,103,0.6046511627906976,0.5142857142857142,0.6504329004329005,43
15,entropy,7,3,3,balanced,6,104,104,0.5581395348837209,0.5581395348837209,0.5660173160173161,43
15,entropy,7,3,3,balanced,6,105,105,0.5111111111111111,0.5,0.516798418972332,45
15,entropy,7,3,3,balanced,6,106,106,0.4888888888888889,0.46511627906976744,0.4821428571428571,45
15,entropy,7,3,3,balanced,6,107,107,0.4,0.47058823529411764,0.4295634920634921,45
15,entropy,7,3,3,balanced,6,108,108,0.7333333333333333,0.7,0.7737154150197628,45
16,entropy,7,4,4,balanced,6,1,1,0.6,0.6896551724137931,0.5849802371541503,45
16,entropy,7,4,4,balanced,6,2,2,0.8,0.7804878048780488,0.8152173913043479,45
16,entropy,7,4,4,balanced,6,3,3,0.4888888888888889,0.5964912280701754,0.5138339920948616,45
16,entropy,7,4,4,balanced,6,4,4,0.5333333333333333,0.16,0.5237154150197628,45
16,entropy,7,4,4,balanced,6,5,5,0.4444444444444444,0.32432432432432434,0.4255952380952381,45
16,entropy,7,4,4,balanced,6,6,6,0.5333333333333333,0.2222222222222222,0.5158730158730158,45
16,entropy,7,4,4,balanced,6,7,7,0.5333333333333333,0.676923076923077,0.857707509881423,45
16,entropy,7,4,4,balanced,6,8,8,0.5777777777777777,0.2962962962962963,0.6620553359683794,45
16,entropy,7,4,4,balanced,6,9,9,0.5333333333333333,0.27586206896551724,0.5496031746031745,45
16,entropy,7,4,4,balanced,6,10,10,0.6,0.5714285714285714,0.6190476190476191,45
16,entropy,7,4,4,balanced,6,11,11,0.4666666666666667,0.6129032258064516,0.47529644268774707,45
16,entropy,7,4,4,balanced,6,12,12,0.4888888888888889,0.14814814814814814,0.5168650793650793,45
16,entropy,7,4,4,balanced,6,13,13,0.6285714285714286,0.38095238095238093,0.8186274509803921,35
16,entropy,7,4,4,balanced,6,14,14,0.5777777777777777,0.7076923076923077,0.5869565217391304,45
16,entropy,7,4,4,balanced,6,15,15,0.7555555555555555,0.7924528301886793,0.8725296442687747,45
16,entropy,7,4,4,balanced,6,16,16,0.4666666666666667,0.14285714285714285,0.45849802371541504,45
16,entropy,7,4,4,balanced,6,17,17,0.5714285714285714,0.18181818181818182,0.5397727272727273,42
16,entropy,7,4,4,balanced,6,18,18,0.4888888888888889,0.0,0.5,45
16,entropy,7,4,4,balanced,6,19,19,0.5555555555555556,0.6296296296296297,0.6086956521739131,45
16,entropy,7,4,4,balanced,6,20,20,0.5111111111111111,0.0,0.5,45
16,entropy,7,4,4,balanced,6,21,21,0.6222222222222222,0.48484848484848486,0.6071428571428572,45
16,entropy,7,4,4,balanced,6,22,22,0.5777777777777777,0.4864864864864865,0.6551383399209486,45
16,entropy,7,4,4,balanced,6,23,23,0.7045454545454546,0.7450980392156863,0.774793388429752,44
16,entropy,7,4,4,balanced,6,24,24,0.4444444444444444,0.375,0.4155844155844156,18
16,entropy,7,4,4,balanced,6,25,25,0.5111111111111111,0.08333333333333333,0.5,45
16,entropy,7,4,4,balanced,6,26,26,0.5555555555555556,0.09090909090909091,0.5238095238095238,45
16,entropy,7,4,4,balanced,6,27,27,0.4,0.509090909090909,0.5019762845849803,45
16,entropy,7,4,4,balanced,6,28,28,0.4444444444444444,0.32432432432432434,0.3992094861660079,45
16,entropy,7,4,4,balanced,6,29,29,0.6444444444444445,0.6190476190476191,0.709486166007905,45
16,entropy,7,4,4,balanced,6,30,30,0.5555555555555556,0.09090909090909091,0.5238095238095238,45
16,entropy,7,4,4,balanced,6,31,31,0.5555555555555556,0.696969696969697,0.7401185770750989,45
16,entropy,7,4,4,balanced,6,32,32,0.7272727272727273,0.7857142857142857,0.8685300207039338,44
16,entropy,7,4,4,balanced,6,33,33,0.6666666666666666,0.6511627906976745,0.7322134387351779,45
16,entropy,7,4,4,balanced,6,34,34,0.5777777777777777,0.3448275862068966,0.6607142857142857,45
16,entropy,7,4,4,balanced,6,35,35,0.5555555555555556,0.23076923076923078,0.6215415019762845,45
16,entropy,7,4,4,balanced,6,36,36,0.5227272727272727,0.6181818181818182,0.5247933884297521,44
16,entropy,7,4,4,balanced,6,37,37,0.5111111111111111,0.0,0.5,45
16,entropy,7,4,4,balanced,6,38,38,0.5333333333333333,0.46153846153846156,0.5770750988142292,45
16,entropy,7,4,4,balanced,6,39,39,0.4318181818181818,0.4444444444444444,0.3364389233954451,44
16,entropy,7,4,4,balanced,6,40,40,0.4222222222222222,0.0,0.3998015873015873,45
16,entropy,7,4,4,balanced,6,41,41,0.5333333333333333,0.0,0.5,45
16,entropy,7,4,4,balanced,6,42,42,0.7333333333333333,0.7391304347826086,0.8043478260869567,45
16,entropy,7,4,4,balanced,6,43,43,0.6444444444444445,0.4666666666666667,0.7065217391304348,45
16,entropy,7,4,4,balanced,6,44,44,0.7241379310344828,0.6666666666666666,0.7119047619047618,29
16,entropy,7,4,4,balanced,6,45,45,0.5777777777777777,0.5365853658536586,0.6027667984189724,45
16,entropy,7,4,4,balanced,6,46,46,0.4666666666666667,0.625,0.4762845849802371,45
16,entropy,7,4,4,balanced,6,47,47,0.5333333333333333,0.0,0.5,45
16,entropy,7,4,4,balanced,6,48,48,0.7058823529411765,0.7058823529411765,0.7714285714285715,17
16,entropy,7,4,4,balanced,6,49,49,0.7777777777777778,0.75,0.7559288537549408,45
16,entropy,7,4,4,balanced,6,50,50,0.5111111111111111,0.0,0.5,45
16,entropy,7,4,4,balanced,6,51,51,0.5333333333333333,0.0,0.5,45
16,entropy,7,4,4,balanced,6,52,52,0.7073170731707317,0.5714285714285714,0.6746411483253589,41
16,entropy,7,4,4,balanced,6,53,53,0.627906976744186,0.5555555555555556,0.6038961038961039,43
16,entropy,7,4,4,balanced,6,54,54,0.5641025641025641,0.6382978723404256,0.75,39
16,entropy,7,4,4,balanced,6,55,55,0.5111111111111111,0.0,0.5,45
16,entropy,7,4,4,balanced,6,56,56,0.5681818181818182,0.6666666666666666,0.6580578512396694,44
16,entropy,7,4,4,balanced,6,57,57,0.5777777777777777,0.4864864864864865,0.5734126984126984,45
16,entropy,7,4,4,balanced,6,58,58,0.5111111111111111,0.5925925925925926,0.5158730158730158,45
16,entropy,7,4,4,balanced,6,59,59,0.4888888888888889,0.20689655172413793,0.4246031746031746,45
16,entropy,7,4,4,balanced,6,60,60,0.8181818181818182,0.8333333333333334,0.8429752066115702,44
16,entropy,7,4,4,balanced,6,61,61,0.6976744186046512,0.7346938775510204,0.7142857142857144,43
16,entropy,7,4,4,balanced,6,62,62,0.7777777777777778,0.75,0.8705533596837944,45
16,entropy,7,4,4,balanced,6,63,63,0.5581395348837209,0.3448275862068966,0.5292207792207793,43
16,entropy,7,4,4,balanced,6,64,64,0.5111111111111111,0.0,0.5,45
16,entropy,7,4,4,balanced,6,65,65,0.5333333333333333,0.6666666666666666,0.5625,45
16,entropy,7,4,4,balanced,6,66,66,0.6,0.5909090909090909,0.5879446640316205,45
16,entropy,7,4,4,balanced,6,67,67,0.5555555555555556,0.2857142857142857,0.6205533596837944,45
16,entropy,7,4,4,balanced,6,68,68,0.5111111111111111,0.08333333333333333,0.5424901185770751,45
16,entropy,7,4,4,balanced,6,69,69,0.4888888888888889,0.5490196078431373,0.5109126984126984,45
16,entropy,7,4,4,balanced,6,70,70,0.5777777777777777,0.6415094339622641,0.567193675889328,45
16,entropy,7,4,4,balanced,6,71,71,0.7777777777777778,0.8148148148148148,0.8112648221343873,45
16,entropy,7,4,4,balanced,6,72,72,0.4888888888888889,0.0,0.5,45
16,entropy,7,4,4,balanced,6,73,73,0.5111111111111111,0.0,0.5,45
16,entropy,7,4,4,balanced,6,74,74,0.5555555555555556,0.16666666666666666,0.5059523809523809,45
16,entropy,7,4,4,balanced,6,75,75,0.6585365853658537,0.5625,0.6142857142857143,41
16,entropy,7,4,4,balanced,6,76,76,0.5111111111111111,0.15384615384615385,0.5019762845849802,45
16,entropy,7,4,4,balanced,6,77,77,0.4888888888888889,0.41025641025641024,0.5168650793650794,45
16,entropy,7,4,4,balanced,6,78,78,0.5777777777777777,0.6545454545454545,0.5810276679841897,45
16,entropy,7,4,4,balanced,6,79,79,0.7,0.6470588235294118,0.6487499999999999,40
16,entropy,7,4,4,balanced,6,80,80,0.5333333333333333,0.16,0.6640316205533596,45
16,entropy,7,4,4,balanced,6,81,81,0.6,0.5263157894736842,0.6205533596837944,45
16,entropy,7,4,4,balanced,6,82,82,0.5555555555555556,0.6774193548387096,0.6027667984189723,45
16,entropy,7,4,4,balanced,6,83,83,0.5789473684210527,0.3333333333333333,0.574792243767313,38
16,entropy,7,4,4,balanced,6,84,84,0.6363636363636364,0.6666666666666666,0.7515527950310558,44
16,entropy,7,4,4,balanced,6,85,85,0.5909090909090909,0.6896551724137931,0.8033126293995859,44
16,entropy,7,4,4,balanced,6,86,86,0.6136363636363636,0.6666666666666666,0.6231884057971014,44
16,entropy,7,4,4,balanced,6,87,87,0.4666666666666667,0.5714285714285714,0.5187747035573121,45
16,entropy,7,4,4,balanced,6,88,88,0.45454545454545453,0.0625,0.49735449735449744,55
16,entropy,7,4,4,balanced,6,89,89,0.5333333333333333,0.0,0.5,45
16,entropy,7,4,4,balanced,6,90,90,0.4444444444444444,0.5098039215686274,0.4644268774703557,45
16,entropy,7,4,4,balanced,6,91,91,0.6136363636363636,0.6382978723404256,0.6570247933884297,44
16,entropy,7,4,4,balanced,6,92,92,0.5357142857142857,0.3157894736842105,0.708974358974359,56
16,entropy,7,4,4,balanced,6,93,93,0.7333333333333333,0.75,0.6956521739130437,45
16,entropy,7,4,4,balanced,6,94,94,0.8181818181818182,0.8518518518518519,0.8623188405797101,44
16,entropy,7,4,4,balanced,6,95,95,0.4642857142857143,0.4827586206896552,0.46875,28
16,entropy,7,4,4,balanced,6,96,96,0.5714285714285714,0.6896551724137931,0.5351473922902494,42
16,entropy,7,4,4,balanced,6,97,97,0.5,0.0,0.48347107438016534,44
16,entropy,7,4,4,balanced,6,98,98,0.5555555555555556,0.5,0.5375494071146245,45
16,entropy,7,4,4,balanced,6,99,99,0.46511627906976744,0.5964912280701754,0.4632034632034633,43
16,entropy,7,4,4,balanced,6,100,100,0.5,0.5263157894736842,0.441358024691358,36
16,entropy,7,4,4,balanced,6,101,101,0.4888888888888889,0.0,0.559288537549407,45
16,entropy,7,4,4,balanced,6,102,102,0.4888888888888889,0.0,0.5,45
16,entropy,7,4,4,balanced,6,103,103,0.627906976744186,0.5294117647058824,0.6796536796536796,43
16,entropy,7,4,4,balanced,6,104,104,0.5581395348837209,0.5581395348837209,0.5660173160173161,43
16,entropy,7,4,4,balanced,6,105,105,0.5111111111111111,0.5,0.516798418972332,45
16,entropy,7,4,4,balanced,6,106,106,0.4888888888888889,0.46511627906976744,0.48710317460317454,45
16,entropy,7,4,4,balanced,6,107,107,0.4,0.47058823529411764,0.4295634920634921,45
16,entropy,7,4,4,balanced,6,108,108,0.7333333333333333,0.7,0.7737154150197628,45
17,entropy,8,7,10,balanced,6,1,1,0.6222222222222222,0.6530612244897959,0.6551383399209486,45
17,entropy,8,7,10,balanced,6,2,2,0.6,0.3076923076923077,0.8448616600790515,45
17,entropy,8,7,10,balanced,6,3,3,0.35555555555555557,0.12121212121212122,0.38735177865612647,45
17,entropy,8,7,10,balanced,6,4,4,0.5333333333333333,0.16,0.5237154150197628,45
17,entropy,8,7,10,balanced,6,5,5,0.4,0.3076923076923077,0.40972222222222227,45
17,entropy,8,7,10,balanced,6,6,6,0.4666666666666667,0.2,0.4126984126984127,45
17,entropy,8,7,10,balanced,6,7,7,0.5777777777777777,0.6274509803921569,0.7539525691699605,45
17,entropy,8,7,10,balanced,6,8,8,0.5555555555555556,0.3333333333333333,0.6422924901185771,45
17,entropy,8,7,10,balanced,6,9,9,0.5333333333333333,0.27586206896551724,0.5575396825396824,45
17,entropy,8,7,10,balanced,6,10,10,0.5777777777777777,0.5957446808510638,0.6478174603174603,45
17,entropy,8,7,10,balanced,6,11,11,0.4666666666666667,0.6129032258064516,0.47529644268774707,45
17,entropy,8,7,10,balanced,6,12,12,0.4888888888888889,0.14814814814814814,0.5168650793650793,45
17,entropy,8,7,10,balanced,6,13,13,0.6571428571428571,0.625,0.7369281045751636,35
17,entropy,8,7,10,balanced,6,14,14,0.6222222222222222,0.6792452830188679,0.6156126482213439,45
17,entropy,8,7,10,balanced,6,15,15,0.6888888888888889,0.7586206896551724,0.8784584980237155,45
17,entropy,8,7,10,balanced,6,16,16,0.4888888888888889,0.14814814814814814,0.45849802371541504,45
17,entropy,8,7,10,balanced,6,17,17,0.42857142857142855,0.25,0.48068181818181815,42
17,entropy,8,7,10,balanced,6,18,18,0.5333333333333333,0.676923076923077,0.5237154150197628,45
17,entropy,8,7,10,balanced,6,19,19,0.5333333333333333,0.6181818181818182,0.6363636363636362,45
17,entropy,8,7,10,balanced,6,20,20,0.4888888888888889,0.6567164179104478,0.5,45
17,entropy,8,7,10,balanced,6,21,21,0.6222222222222222,0.48484848484848486,0.6071428571428572,45
17,entropy,8,7,10,balanced,6,22,22,0.5777777777777777,0.45714285714285713,0.6383399209486166,45
17,entropy,8,7,10,balanced,6,23,23,0.6363636363636364,0.68,0.7138429752066116,44
17,entropy,8,7,10,balanced,6,24,24,0.4444444444444444,0.375,0.4480519480519481,18
17,entropy,8,7,10,balanced,6,25,25,0.5111111111111111,0.08333333333333333,0.5,45
17,entropy,8,7,10,balanced,6,26,26,0.4666666666666667,0.6363636363636364,0.5238095238095238,45
17,entropy,8,7,10,balanced,6,27,27,0.4444444444444444,0.5901639344262295,0.5434782608695653,45
17,entropy,8,7,10,balanced,6,28,28,0.4222222222222222,0.3157894736842105,0.3824110671936759,45
17,entropy,8,7,10,balanced,6,29,29,0.6444444444444445,0.6363636363636364,0.7262845849802372,45
