trial_number,penalty,C,solver,class_weight,l1_ratio,csp_components,fold,subject,accuracy,f1_score,roc_auc,support
0,elasticnet,1.2250459207136355,saga,balanced,0.2,6,1,1,0.7555555555555555,0.7843137254901961,0.8458498023715415,45
0,elasticnet,1.2250459207136355,saga,balanced,0.2,6,2,2,0.7111111111111111,0.5806451612903226,0.875494071146245,45
0,elasticnet,1.2250459207136355,saga,balanced,0.2,6,3,3,0.4666666666666667,0.4782608695652174,0.4308300395256917,45
0,elasticnet,1.2250459207136355,saga,balanced,0.2,6,4,4,0.4888888888888889,0.6567164179104478,0.8142292490118577,45
0,elasticnet,1.2250459207136355,saga,balanced,0.2,6,5,5,0.4888888888888889,0.6567164179104478,0.36111111111111116,45
0,elasticnet,1.2250459207136355,saga,balanced,0.2,6,6,6,0.5333333333333333,0.0,0.494047619047619,45
0,elasticnet,1.2250459207136355,saga,balanced,0.2,6,7,7,0.7111111111111111,0.7719298245614035,0.9881422924901186,45
0,elasticnet,1.2250459207136355,saga,balanced,0.2,6,8,8,0.6666666666666666,0.6666666666666666,0.691699604743083,45
0,elasticnet,1.2250459207136355,saga,balanced,0.2,6,9,9,0.6,0.5909090909090909,0.5376984126984128,45
0,elasticnet,1.2250459207136355,saga,balanced,0.2,6,10,10,0.6444444444444445,0.6521739130434783,0.6825396825396826,45
0,elasticnet,1.2250459207136355,saga,balanced,0.2,6,11,11,0.5111111111111111,0.6666666666666666,0.4328063241106719,45
0,elasticnet,1.2250459207136355,saga,balanced,0.2,6,12,12,0.6222222222222222,0.5853658536585366,0.7123015873015873,45
0,elasticnet,1.2250459207136355,saga,balanced,0.2,6,13,13,0.8,0.8108108108108109,0.8954248366013071,35
0,elasticnet,1.2250459207136355,saga,balanced,0.2,6,14,14,0.6666666666666666,0.7457627118644068,0.7964426877470356,45
0,elasticnet,1.2250459207136355,saga,balanced,0.2,6,15,15,0.5555555555555556,0.6875,0.9505928853754941,45
0,elasticnet,1.2250459207136355,saga,balanced,0.2,6,16,16,0.5333333333333333,0.6865671641791045,0.7332015810276681,45
0,elasticnet,1.2250459207136355,saga,balanced,0.2,6,17,17,0.5238095238095238,0.0,0.5886363636363636,42
0,elasticnet,1.2250459207136355,saga,balanced,0.2,6,18,18,0.4888888888888889,0.6461538461538462,0.41304347826086957,45
0,elasticnet,1.2250459207136355,saga,balanced,0.2,6,19,19,0.7111111111111111,0.7719298245614035,0.841897233201581,45
0,elasticnet,1.2250459207136355,saga,balanced,0.2,6,20,20,0.5555555555555556,0.5,0.5889328063241106,45
0,elasticnet,1.2250459207136355,saga,balanced,0.2,6,21,21,0.5555555555555556,0.6296296296296297,0.7222222222222222,45
0,elasticnet,1.2250459207136355,saga,balanced,0.2,6,22,22,0.5111111111111111,0.6764705882352942,0.7312252964426877,45
0,elasticnet,1.2250459207136355,saga,balanced,0.2,6,23,23,0.6590909090909091,0.7368421052631579,0.8574380165289256,44
0,elasticnet,1.2250459207136355,saga,balanced,0.2,6,24,24,0.5555555555555556,0.42857142857142855,0.6493506493506493,18
0,elasticnet,1.2250459207136355,saga,balanced,0.2,6,25,25,0.6888888888888889,0.72,0.7628458498023716,45
0,elasticnet,1.2250459207136355,saga,balanced,0.2,6,26,26,0.6222222222222222,0.711864406779661,0.7896825396825397,45
